Age,Gender,Weight_kg,Height_cm,BMI,Sleep_hrs,Activity_Level,Water_Intake_L,Protein_g,Carbs_g,Fat_g,Fitness_Goal,Calories_kcal,Estimated_Maintenance_Calories,Caloric_Surplus_or_Deficit
59,Male,82.4,183.3,24.53,6.1,Sedentary,3.04,99,309,60,Maintenance,2176,2015.55,160.45000000000005
46,Male,88.6,171.6,30.09,5.7,Moderate,2.77,106,460,84,Maintenance,3021,2686.925,334.0749999999998
61,Male,67.2,182.4,20.21,8.0,Moderate,2.91,81,349,64,Maintenance,2292,2343.6,-51.59999999999991
24,Male,73.3,176.8,23.44,6.9,Moderate,3.07,88,381,69,Maintenance,2499,2670.65,-171.6500000000001
52,Female,63.1,159.3,24.88,6.9,Active,2.61,101,450,82,Muscle Gain,2939,2079.703125,859.296875
27,Female,68.3,162.2,25.97,8.9,Sedentary,2.43,82,162,36,Weight Loss,1303,1680.9,-377.8999999999999
37,Female,56.4,154.7,23.53,8.9,Sedentary,2.72,68,211,41,Maintenance,1488,1421.85,66.15000000000009
63,Female,63.8,161.1,24.6,7.6,Sedentary,1.77,102,270,55,Muscle Gain,1986,1402.65,583.3500000000001
27,Female,57.7,170.3,19.9,6.1,Sedentary,2.23,69,123,28,Weight Loss,1024,1614.45,-590.45
44,Male,80.6,178.2,25.36,6.3,Moderate,2.71,97,418,76,Maintenance,2747,2642.3625,104.63749999999982
23,Male,86.7,161.7,33.15,5.0,Sedentary,2.31,104,325,64,Maintenance,2289,2121.15,167.8499999999999
52,Male,68.1,169.0,23.82,4.8,Moderate,2.28,82,260,51,Weight Loss,1821,2297.4875,-476.4875000000002
61,Female,56.5,168.9,19.8,7.9,Moderate,3.51,68,293,54,Maintenance,1926,1789.66875,136.33124999999995
26,Male,73.1,167.5,26.05,6.1,Sedentary,2.66,88,274,54,Maintenance,1930,1983.45,-53.44999999999982
26,Male,51.1,174.7,16.75,8.4,Active,1.99,82,375,68,Muscle Gain,2437,2549.334375,-112.33437499999992
25,Male,77.3,165.2,28.32,6.2,Moderate,2.19,93,402,73,Maintenance,2637,2612.525,24.47499999999991
34,Female,52.0,163.6,19.44,4.8,Moderate,1.91,83,306,58,Muscle Gain,2075,1877.825,197.17499999999995
33,Female,57.2,166.6,20.62,6.1,Sedentary,2.24,92,248,50,Muscle Gain,1811,1544.7,266.29999999999995
38,Male,71.0,178.7,22.25,6.0,Active,2.48,85,378,69,Weight Loss,2470,2832.234375,-362.234375
39,Female,48.7,157.9,19.55,5.3,Sedentary,2.15,78,219,44,Muscle Gain,1586,1341.45,244.54999999999995
36,Female,66.8,165.0,24.52,6.1,Moderate,2.53,80,253,49,Weight Loss,1776,2105.2875,-329.2874999999999
19,Male,77.0,165.3,28.2,7.2,Active,3.15,92,418,76,Weight Loss,2720,2955.140625,-235.140625
41,Male,80.7,170.0,27.91,7.0,Sedentary,2.67,97,303,59,Maintenance,2130,2003.4,126.60000000000014
35,Female,61.2,172.1,20.65,6.1,Sedentary,2.07,73,136,31,Weight Loss,1114,1621.95,-507.9500000000001
49,Female,58.9,159.0,23.31,6.1,Sedentary,2.28,71,127,29,Weight Loss,1056,1412.1,-356.0999999999999
54,Female,56.3,165.4,20.58,6.2,Moderate,1.1,68,199,39,Weight Loss,1420,1806.9125,-386.91250000000014
44,Female,54.5,154.9,22.71,5.7,Sedentary,3.02,87,239,48,Muscle Gain,1738,1358.55,379.4500000000001
50,Male,76.7,175.6,24.86,5.6,Moderate,2.69,92,398,73,Maintenance,2615,2510.225,104.77500000000008
44,Male,62.0,182.4,18.63,7.3,Moderate,1.73,74,322,59,Maintenance,2113,2394.75,-281.75
54,Male,69.0,177.5,21.92,7.6,Moderate,2.52,83,359,65,Maintenance,2354,2378.28125,-24.28125
61,Female,49.5,156.1,20.31,7.3,Sedentary,1.7,59,92,22,Weight Loss,806,1205.55,-399.55
26,Male,76.8,198.4,19.5,5.9,Moderate,2.55,92,305,59,Weight Loss,2118,2918.65,-800.6500000000001
51,Male,69.8,172.4,23.5,8.1,Moderate,2.84,112,391,74,Muscle Gain,2680,2364.525,315.4749999999999
56,Female,60.8,168.8,21.34,4.4,Sedentary,2.94,73,228,45,Maintenance,1605,1466.4,138.60000000000014
58,Female,56.4,171.7,19.13,6.4,Moderate,2.84,68,293,53,Maintenance,1923,1838.49375,84.50624999999991
55,Male,72.0,183.0,21.48,6.2,Moderate,2.69,115,401,76,Muscle Gain,2754,2470.3125,283.6875
48,Male,81.0,166.4,29.26,8.1,Moderate,2.57,97,421,77,Maintenance,2761,2503.25,257.75
30,Male,65.4,164.0,24.34,6.0,Moderate,1.45,79,340,62,Maintenance,2231,2377.7000000000003,-146.70000000000027
62,Male,83.6,172.3,28.15,6.7,Moderate,2.18,100,340,65,Weight Loss,2351,2492.20625,-141.20625000000018
31,Female,55.4,159.5,21.77,5.7,Sedentary,2.51,89,242,49,Muscle Gain,1763,1481.85,281.1500000000001
60,Male,71.2,169.8,24.69,6.7,Moderate,2.16,114,397,76,Muscle Gain,2727,2291.2875,435.7125000000001
59,Female,63.9,157.2,25.84,7.3,Moderate,1.64,102,362,69,Muscle Gain,2478,1806.525,671.4749999999999
26,Female,45.6,160.3,17.73,8.1,Moderate,2.52,73,275,52,Muscle Gain,1854,1808.65625,45.34375
55,Male,70.3,173.8,23.27,6.3,Moderate,2.44,112,393,75,Muscle Gain,2696,2354.8375,341.1624999999999
51,Male,93.3,177.0,29.77,6.1,Moderate,2.12,112,391,74,Weight Loss,2680,2773.3375,-93.33750000000008
19,Female,74.1,161.1,28.52,8.3,Moderate,2.36,89,385,70,Maintenance,2525,2312.40625,212.59375
50,Male,71.1,178.9,22.19,9.0,Moderate,2.79,85,369,67,Maintenance,2423,2455.39375,-32.39375000000018
53,Female,59.6,159.2,23.52,5.9,Active,2.57,72,396,69,Maintenance,2491,2009.625,481.375
50,Male,90.7,165.7,33.02,5.4,Moderate,2.15,109,471,86,Maintenance,3093,2631.31875,461.6812500000001
60,Male,73.8,188.1,20.86,7.1,Moderate,2.85,89,383,70,Maintenance,2515,2508.86875,6.131249999999909
35,Female,52.5,154.8,21.93,7.0,Moderate,2.8,63,179,36,Weight Loss,1291,1792.575,-501.5750000000001
56,Female,50.0,162.0,19.06,7.5,Moderate,2.07,80,296,56,Muscle Gain,2005,1660.825,344.17499999999995
42,Male,70.9,175.7,22.97,6.8,Moderate,3.77,85,275,53,Weight Loss,1918,2483.2937500000003,-565.2937500000003
43,Male,74.1,168.6,26.05,7.7,Active,2.15,89,398,72,Weight Loss,2597,2733.6937500000004,-136.69375000000036
44,Male,69.0,174.9,22.57,7.2,Moderate,2.31,83,358,65,Maintenance,2353,2430.59375,-77.59375
34,Male,82.6,187.0,23.62,6.6,Active,2.65,132,572,104,Muscle Gain,3753,3156.3187500000004,596.6812499999996
64,Male,66.6,175.8,21.52,7.1,Moderate,2.29,106,375,71,Muscle Gain,2569,2247.1125,321.8874999999998
32,Female,55.5,159.9,21.7,7.2,Moderate,2.12,67,288,53,Maintenance,1891,1911.73125,-20.731250000000045
51,Male,68.1,181.0,20.78,7.2,Moderate,1.51,82,354,64,Maintenance,2322,2421.4875,-99.48750000000018
30,Male,91.6,174.2,30.22,8.0,Moderate,2.31,110,382,73,Weight Loss,2625,2882.6125,-257.6125000000002
19,Female,58.7,166.3,21.21,8.7,Active,2.43,70,390,68,Maintenance,2453,2363.896875,89.10312500000009
40,Male,81.9,181.7,24.81,7.3,Active,2.19,131,567,103,Muscle Gain,3723,3035.353125,687.6468749999999
24,Male,91.7,161.1,35.31,6.2,Moderate,2.78,110,382,73,Weight Loss,2626,2803.75625,-177.7562499999999
20,Male,67.5,180.8,20.65,5.6,Moderate,2.21,108,380,72,Muscle Gain,2602,2650.5,-48.5
35,Male,57.8,171.0,19.76,6.4,Moderate,2.7,92,333,63,Muscle Gain,2271,2288.9625,-17.96250000000009
37,Female,56.1,174.1,18.53,8.5,Moderate,2.89,90,325,62,Muscle Gain,2214,2019.84375,194.15625
50,Male,88.9,184.5,26.12,6.2,Sedentary,1.35,142,354,74,Muscle Gain,2647,2156.55,490.4500000000003
53,Male,57.3,173.3,19.07,7.1,Sedentary,1.79,69,121,28,Weight Loss,1012,1675.35,-663.3499999999999
33,Male,85.1,167.0,30.51,7.1,Moderate,2.3,102,442,81,Maintenance,2902,2688.8625,213.13749999999985
35,Female,61.2,165.9,22.24,7.7,Moderate,1.97,73,224,44,Weight Loss,1588,2034.95625,-446.95625
30,Male,72.4,167.1,25.92,7.3,Sedentary,2.37,87,271,53,Maintenance,1911,1948.05,-37.04999999999996
36,Female,58.6,164.5,21.67,7.5,Sedentary,2.63,70,126,29,Weight Loss,1047,1527.75,-480.75
40,Male,71.1,165.5,25.95,5.7,Sedentary,1.71,114,294,60,Muscle Gain,2177,1860.45,316.5500000000002
19,Female,69.5,162.0,26.48,6.9,Moderate,3.23,83,267,52,Weight Loss,1869,2249.8250000000003,-380.8250000000003
51,Male,80.0,163.7,29.85,7.6,Moderate,2.04,128,440,84,Muscle Gain,3028,2438.34375,589.65625
31,Male,74.8,171.9,25.34,7.9,Moderate,1.46,120,415,79,Muscle Gain,2852,2592.18125,259.8187499999999
40,Female,80.0,172.3,26.94,7.2,Moderate,3.36,96,322,62,Weight Loss,2227,2349.6062500000003,-122.60625000000029
52,Female,56.1,156.5,22.88,7.6,Active,2.05,67,372,65,Maintenance,2343,1928.765625,414.234375
43,Male,84.1,173.0,28.09,7.7,Moderate,2.82,135,459,88,Muscle Gain,3167,2653.9875,513.0124999999998
61,Female,46.6,166.0,16.9,7.5,Moderate,1.56,56,148,30,Weight Loss,1089,1608.125,-519.125
47,Female,76.8,156.7,31.3,7.6,Active,1.94,92,416,75,Weight Loss,2710,2331.1218750000003,378.8781249999997
19,Male,45.8,173.7,15.18,6.3,Moderate,1.56,55,144,30,Weight Loss,1062,2253.11875,-1191.11875
61,Male,84.9,173.2,28.3,7.3,Moderate,2.48,136,463,89,Muscle Gain,3195,2528.8250000000003,666.1749999999997
59,Female,69.8,172.6,23.44,6.9,Sedentary,2.12,84,262,51,Maintenance,1844,1584.9,259.10000000000014
59,Male,79.6,185.7,23.09,6.5,Sedentary,2.59,127,323,67,Muscle Gain,2402,1999.95,402.0500000000002
30,Male,88.4,172.3,29.75,6.4,Sedentary,2.88,106,331,65,Maintenance,2333,2179.05,153.95000000000027
32,Male,76.9,184.1,22.68,8.1,Moderate,1.52,92,305,59,Weight Loss,2121,2735.1687500000003,-614.1687500000003
51,Female,78.5,172.5,26.37,8.0,Moderate,2.01,94,408,74,Maintenance,2676,2243.0437500000003,432.9562499999997
33,Male,81.0,167.4,28.88,5.5,Moderate,1.89,130,444,85,Muscle Gain,3060,2629.1875,430.8125
34,Male,72.9,181.1,22.21,8.1,Active,3.15,117,511,93,Muscle Gain,3346,2925.384375,420.6156249999999
47,Male,78.6,186.8,22.53,6.9,Sedentary,2.32,94,201,44,Weight Loss,1575,2068.2,-493.1999999999998
26,Female,62.9,157.5,25.35,7.8,Active,2.79,76,418,73,Maintenance,2630,2281.096875,348.9031249999998
39,Male,89.7,163.2,33.7,6.0,Moderate,2.25,108,372,71,Weight Loss,2559,2676.85,-117.84999999999992
22,Female,50.8,162.7,19.17,7.7,Moderate,2.42,61,264,48,Maintenance,1732,1943.50625,-211.5062500000001
59,Male,91.8,178.2,28.91,6.2,Moderate,1.96,110,383,73,Weight Loss,2630,2699.7125,-69.71250000000009
32,Female,56.4,164.2,20.92,4.8,Moderate,3.11,68,293,53,Maintenance,1923,1967.3375,-44.33750000000009
44,Female,58.0,157.6,23.32,7.2,Active,3.09,70,291,53,Weight Loss,1923,2042.4,-119.40000000000008
35,Female,66.2,160.0,25.84,7.9,Sedentary,2.95,79,248,49,Maintenance,1747,1591.2,155.79999999999995
36,Female,67.2,173.6,22.28,6.5,Moderate,2.31,81,255,50,Weight Loss,1791,2194.8,-403.8000000000002
44,Male,88.8,173.9,29.36,8.5,Sedentary,2.2,142,354,73,Muscle Gain,2644,2111.85,532.1500000000001
57,Male,70.0,168.4,24.69,7.0,Moderate,2.3,84,270,52,Weight Loss,1887,2282.375,-395.375
62,Female,59.5,147.2,27.46,8.4,Active,3.19,71,395,69,Maintenance,2486,1800.9,685.0999999999999
19,Female,76.0,164.1,28.24,7.9,Moderate,2.39,122,421,80,Muscle Gain,2892,2370.9187500000003,521.0812499999997
23,Male,75.4,164.9,27.73,7.0,Sedentary,2.74,91,283,55,Maintenance,1991,2009.55,-18.549999999999955
33,Male,75.3,175.9,24.34,6.7,Moderate,3.31,90,391,71,Maintenance,2569,2623.18125,-54.18125000000009
49,Female,49.3,154.6,20.64,6.7,Moderate,2.27,59,162,33,Weight Loss,1181,1632.5375,-451.53750000000014
22,Female,58.9,172.0,19.93,7.1,Moderate,2.39,71,306,56,Maintenance,2010,2159.15,-149.1500000000001
64,Male,76.9,170.4,26.48,6.1,Sedentary,2.81,92,288,56,Maintenance,2031,1822.8,208.20000000000005
37,Male,82.4,169.8,28.59,4.6,Sedentary,2.92,99,309,60,Maintenance,2175,2046.3,128.70000000000005
64,Female,62.9,156.9,25.57,8.5,Moderate,3.81,76,327,60,Maintenance,2146,1749.36875,396.6312499999999
39,Male,71.9,171.3,24.49,7.3,Moderate,2.24,86,280,54,Weight Loss,1951,2479.4187500000003,-528.4187500000003
25,Female,64.2,155.9,26.45,7.6,Sedentary,2.59,77,147,33,Weight Loss,1196,1596.45,-400.4500000000001
41,Female,74.3,167.9,26.33,5.6,Active,1.86,89,493,86,Maintenance,3105,2460.4968750000003,644.5031249999997
29,Female,73.4,153.2,31.27,6.0,Sedentary,1.99,117,302,62,Muscle Gain,2238,1662.6,575.4000000000001
36,Female,72.1,162.8,27.2,7.3,Moderate,2.38,115,402,77,Muscle Gain,2758,2166.125,591.875
35,Male,72.0,180.4,22.12,6.8,Sedentary,2.26,86,270,53,Maintenance,1901,2013.0,-112.0
46,Male,62.8,177.3,19.96,5.5,Moderate,2.49,75,232,46,Weight Loss,1640,2342.24375,-702.2437500000001
25,Male,94.8,178.6,29.73,7.0,Moderate,2.74,114,399,76,Weight Loss,2733,3013.5875,-280.5875000000001
52,Female,74.5,162.0,28.38,7.4,Moderate,2.46,89,293,57,Weight Loss,2040,2071.5750000000003,-31.575000000000276
54,Male,77.0,177.2,24.53,6.0,Moderate,2.43,123,425,81,Muscle Gain,2925,2499.375,425.625
62,Male,89.5,164.2,33.18,7.2,Moderate,2.65,107,371,71,Weight Loss,2553,2505.1875,47.8125
55,Male,62.1,175.1,20.26,7.3,Sedentary,2.18,99,264,54,Muscle Gain,1940,1734.45,205.54999999999995
31,Male,76.8,172.8,25.73,7.1,Moderate,2.26,92,399,73,Maintenance,2620,2631.9,-11.900000000000093
47,Female,58.2,155.4,24.1,6.5,Moderate,2.46,93,335,63,Muscle Gain,2285,1793.7375,491.2625000000001
64,Female,66.6,157.8,26.74,7.3,Active,3.08,80,348,63,Weight Loss,2283,2020.40625,262.59375
61,Female,51.5,159.0,20.39,6.1,Active,2.37,82,378,68,Muscle Gain,2454,1798.74375,655.2562499999999
28,Male,84.4,178.9,26.38,4.9,Sedentary,2.57,101,223,48,Weight Loss,1729,2192.55,-463.5499999999997
60,Female,63.6,157.5,25.63,7.5,Moderate,2.75,76,237,46,Weight Loss,1669,1797.03125,-128.03125
42,Male,81.2,167.4,28.97,6.5,Moderate,2.17,130,445,85,Muscle Gain,3068,2562.5375,505.4625000000001
35,Male,67.7,173.7,22.43,5.1,Moderate,2.62,81,258,50,Weight Loss,1809,2468.56875,-659.5687499999999
50,Male,62.1,164.5,22.96,7.4,Sedentary,2.64,75,233,46,Maintenance,1640,1684.95,-44.950000000000045
34,Female,67.9,173.8,22.47,7.8,Active,3.46,81,450,79,Maintenance,2836,2474.08125,361.9187499999998
42,Female,57.0,161.7,21.79,6.8,Sedentary,2.36,68,214,42,Maintenance,1505,1451.55,53.450000000000045
55,Male,83.8,176.7,26.82,7.6,Moderate,2.09,101,435,79,Maintenance,2856,2592.18125,263.8187499999999
64,Female,66.6,153.6,28.23,6.3,Moderate,2.54,80,252,49,Weight Loss,1772,1774.75,-2.75
27,Female,44.3,163.1,16.64,7.2,Active,1.61,53,294,51,Maintenance,1850,2011.996875,-161.99687500000005
31,Female,55.4,161.9,21.12,6.4,Sedentary,2.74,66,208,41,Maintenance,1462,1499.85,-37.84999999999991
22,Female,80.0,151.7,34.74,8.6,Moderate,2.2,96,415,76,Maintenance,2727,2289.5437500000003,437.4562499999997
51,Male,75.4,164.5,27.87,7.0,Moderate,2.67,121,418,80,Muscle Gain,2871,2374.7937500000003,496.2062499999997
23,Female,54.3,167.5,19.35,7.8,Moderate,2.37,65,282,51,Maintenance,1852,2036.50625,-184.5062500000001
38,Female,51.8,168.2,18.29,6.4,Sedentary,1.55,62,100,24,Weight Loss,867,1461.9,-594.8999999999999
44,Male,81.0,162.3,30.77,6.8,Moderate,1.65,130,445,85,Muscle Gain,3063,2494.53125,568.46875
56,Male,63.3,179.8,19.59,7.0,Active,2.58,76,327,60,Weight Loss,2147,2556.01875,-409.0187500000002
50,Male,52.7,167.6,18.75,7.0,Moderate,1.78,63,180,36,Weight Loss,1296,2060.725,-764.7249999999999
34,Male,77.5,173.9,25.6,5.4,Active,2.97,93,514,90,Maintenance,3238,2927.109375,310.890625
44,Female,63.7,163.8,23.76,5.8,Active,1.87,76,423,74,Maintenance,2665,2207.56875,457.4312500000001
59,Female,73.5,159.8,28.8,8.4,Moderate,2.33,88,288,56,Weight Loss,2008,1980.5125,27.487499999999955
59,Male,67.7,172.1,22.86,5.2,Moderate,2.83,81,352,64,Maintenance,2310,2267.06875,42.93125000000009
56,Male,77.2,170.3,26.6,4.3,Moderate,1.98,93,401,73,Maintenance,2631,2420.13125,210.8687500000001
47,Female,57.1,161.7,21.83,8.9,Moderate,1.52,68,296,54,Maintenance,1946,1837.71875,108.28125
59,Female,60.9,168.4,21.45,7.1,Moderate,2.53,97,348,66,Muscle Gain,2376,1868.525,507.4749999999999
37,Male,86.9,178.0,27.43,6.5,Moderate,3.2,104,357,68,Weight Loss,2462,2792.3250000000003,-330.3250000000003
34,Male,75.9,175.2,24.74,8.7,Active,3.51,122,530,97,Muscle Gain,3474,2913.525,560.4749999999999
32,Male,64.2,162.8,24.24,8.1,Moderate,2.57,103,364,69,Muscle Gain,2490,2331.975,158.0250000000001
40,Male,71.9,175.9,23.25,7.5,Moderate,2.48,115,401,76,Muscle Gain,2753,2516.2312500000003,236.76874999999973
32,Female,63.5,154.6,26.58,5.6,Moderate,3.14,76,330,60,Maintenance,2166,1984.3875,181.61249999999995
29,Female,64.8,170.3,22.37,5.5,Sedentary,2.41,78,243,48,Maintenance,1712,1687.65,24.350000000000136
43,Male,76.1,173.0,25.42,6.7,Moderate,2.52,122,421,80,Muscle Gain,2895,2529.9875,365.0124999999998
23,Male,69.6,179.0,21.72,8.4,Sedentary,2.43,84,261,51,Maintenance,1838,2045.7,-207.69999999999985
48,Female,71.7,168.1,25.37,5.3,Sedentary,4.11,86,175,39,Weight Loss,1393,1639.95,-246.95000000000005
30,Female,56.3,159.2,22.21,6.5,Sedentary,3.31,68,211,41,Maintenance,1486,1496.4,-10.399999999999864
27,Female,66.8,165.2,24.49,8.7,Sedentary,2.61,80,251,49,Maintenance,1764,1685.4,78.60000000000014
54,Male,60.9,174.7,19.96,6.9,Moderate,2.13,73,316,58,Maintenance,2077,2225.6062500000003,-148.60625000000027
32,Female,76.5,158.3,30.52,5.9,Moderate,2.86,92,397,72,Maintenance,2609,2221.7312500000003,387.2687499999997
49,Male,82.1,176.3,26.4,7.8,Active,2.66,131,568,104,Muscle Gain,3732,2902.9593750000004,829.0406249999996
41,Female,56.5,169.7,19.63,7.4,Moderate,2.73,68,294,54,Maintenance,1928,1952.41875,-24.418750000000045
30,Female,53.1,156.7,21.62,6.1,Moderate,2.56,85,311,59,Muscle Gain,2109,1859.03125,249.96875
19,Female,44.0,163.3,16.5,8.4,Active,2.21,70,331,59,Muscle Gain,2139,2077.978125,61.02187499999991
18,Male,72.3,178.0,22.81,8.1,Moderate,3.44,116,403,77,Muscle Gain,2764,2713.275,50.72499999999991
62,Female,70.2,159.6,27.55,7.4,Moderate,2.69,84,364,66,Maintenance,2393,1904.175,488.8250000000001
53,Female,69.1,153.2,29.42,7.1,Sedentary,2.96,83,165,37,Weight Loss,1324,1467.0,-143.0
18,Male,74.2,174.3,24.44,6.6,Sedentary,2.33,119,305,63,Muscle Gain,2259,2095.65,163.3499999999999
38,Female,62.0,164.7,22.86,6.3,Moderate,2.32,74,322,59,Maintenance,2114,2012.48125,101.51874999999995
18,Female,55.4,163.8,20.62,5.4,Sedentary,2.47,66,208,41,Maintenance,1461,1592.1,-131.0999999999999
58,Male,90.5,176.0,29.19,8.1,Moderate,1.51,109,376,72,Weight Loss,2585,2666.0,-81.0
63,Male,73.2,168.3,25.82,6.9,Moderate,2.32,117,407,78,Muscle Gain,2795,2284.50625,510.4937500000001
40,Male,83.8,174.9,27.42,8.2,Moderate,2.98,101,435,79,Maintenance,2859,2690.99375,168.0062499999999
52,Female,57.5,167.6,20.45,6.1,Active,2.03,69,288,53,Weight Loss,1903,2072.5875,-169.5875000000001
49,Female,51.6,168.6,18.15,8.6,Sedentary,2.64,83,229,46,Muscle Gain,1662,1396.5,265.5
52,Female,63.6,164.5,23.53,6.9,Moderate,2.56,76,331,60,Maintenance,2170,1926.84375,243.15625
52,Male,86.1,173.5,28.58,6.6,Moderate,1.85,138,469,90,Muscle Gain,3235,2620.08125,614.9187499999998
61,Male,86.6,181.1,26.4,8.3,Sedentary,2.56,138,346,72,Muscle Gain,2585,2037.45,547.5500000000002
36,Male,59.5,184.2,17.55,7.2,Moderate,1.96,71,215,43,Weight Loss,1530,2435.4375,-905.4375
51,Male,68.7,172.4,23.12,8.1,Active,3.14,82,456,80,Maintenance,2872,2612.5125000000003,259.4874999999997
37,Male,77.2,180.1,23.8,8.5,Sedentary,2.05,123,315,65,Muscle Gain,2337,2061.15,275.8499999999999
45,Male,88.1,178.7,27.59,6.9,Moderate,2.24,106,458,83,Maintenance,3004,2755.70625,248.29374999999985
35,Male,60.2,182.2,18.12,6.4,Sedentary,3.18,72,132,30,Weight Loss,1089,1884.9,-795.8999999999999
37,Male,67.4,194.6,17.8,6.8,Moderate,3.41,81,350,64,Maintenance,2299,2650.8875000000003,-351.8875000000003
21,Male,93.2,174.8,30.5,6.2,Sedentary,2.0,149,368,77,Muscle Gain,2760,2309.4,450.5999999999999
59,Female,49.3,169.7,17.12,6.9,Moderate,2.95,79,293,55,Muscle Gain,1981,1701.31875,279.68124999999986
42,Female,56.5,165.8,20.56,6.5,Moderate,2.56,68,293,54,Maintenance,1927,1906.8875,20.112499999999955
53,Male,92.3,186.1,26.66,8.7,Sedentary,1.91,111,346,68,Maintenance,2438,2191.35,246.6500000000001
48,Female,60.1,159.5,23.61,6.5,Active,2.9,72,399,70,Maintenance,2510,2064.609375,445.390625
42,Female,50.9,163.7,18.98,5.0,Active,1.84,81,374,67,Muscle Gain,2427,2002.940625,424.0593749999998
22,Male,79.1,175.8,25.6,6.6,Moderate,3.2,95,317,61,Weight Loss,2197,2766.3625,-569.3625000000002
24,Female,57.8,157.8,23.21,5.6,Moderate,2.71,92,333,63,Muscle Gain,2270,1989.0375,280.96249999999986
41,Male,74.2,166.8,26.67,8.4,Active,1.88,119,519,95,Muscle Gain,3403,2733.2625000000003,669.7374999999997
31,Male,76.5,176.9,24.45,8.2,Sedentary,2.92,122,312,64,Muscle Gain,2319,2064.75,254.25
64,Male,76.3,163.6,28.5,7.3,Moderate,2.3,92,396,72,Maintenance,2601,2279.275,321.7249999999999
20,Male,78.3,177.9,24.75,6.2,Moderate,2.78,125,432,83,Muscle Gain,2972,2789.80625,182.1937499999999
34,Male,85.8,173.5,28.49,8.4,Moderate,2.54,103,446,81,Maintenance,2925,2754.93125,170.0687499999999
48,Female,68.6,164.9,25.24,8.1,Moderate,2.07,82,356,65,Maintenance,2340,2039.21875,300.78125
27,Male,69.5,176.9,22.19,8.3,Sedentary,2.43,83,167,37,Weight Loss,1334,2004.75,-670.75
40,Female,52.6,166.6,18.95,5.8,Moderate,2.56,63,179,36,Weight Loss,1293,1869.6875,-576.6875
44,Female,67.9,169.6,23.61,7.9,Moderate,2.23,81,353,64,Maintenance,2315,2104.9,210.0999999999999
19,Male,61.9,167.3,22.11,6.2,Moderate,2.06,74,228,45,Weight Loss,1610,2440.6687500000003,-830.6687500000003
28,Female,63.7,170.0,22.05,7.0,Active,2.73,76,423,74,Maintenance,2663,2412.4125,250.5875000000001
55,Female,62.3,162.0,23.72,9.5,Moderate,2.32,75,323,59,Maintenance,2123,1859.225,263.77499999999986
37,Male,81.2,174.2,26.77,4.8,Moderate,1.82,97,422,77,Maintenance,2770,2667.1625,102.83750000000008
27,Male,88.3,179.4,27.42,7.1,Active,1.46,106,492,89,Weight Loss,3190,3233.08125,-43.08125000000018
23,Female,76.7,167.1,27.45,5.9,Moderate,3.08,123,424,81,Muscle Gain,2916,2379.83125,536.1687499999998
28,Female,42.1,160.4,16.35,7.1,Sedentary,1.81,50,158,31,Maintenance,1110,1347.0,-237.0
28,Male,73.8,172.8,24.71,7.6,Moderate,2.7,118,410,78,Muscle Gain,2818,2608.65,209.3499999999999
35,Male,95.0,173.2,31.68,5.7,Moderate,1.92,152,512,98,Muscle Gain,3539,2886.875,652.125
44,Male,67.7,172.6,22.73,7.5,Moderate,2.66,81,352,64,Maintenance,2308,2388.1625,-80.16249999999991
36,Female,46.8,171.6,15.89,7.2,Moderate,2.91,56,149,30,Weight Loss,1095,1859.225,-764.2250000000001
30,Male,74.4,168.5,26.19,5.9,Active,2.27,89,494,86,Maintenance,3108,2849.915625,258.0843749999999
58,Male,62.9,163.5,23.53,8.1,Sedentary,2.96,101,267,54,Muscle Gain,1962,1639.05,322.95000000000005
42,Male,68.4,175.1,22.33,7.0,Active,2.44,82,361,66,Weight Loss,2361,2714.071875,-353.0718750000001
64,Male,60.9,177.4,19.34,6.7,Sedentary,3.42,97,260,53,Muscle Gain,1907,1683.3,223.70000000000005
44,Female,66.1,164.6,24.39,5.1,Moderate,3.16,106,373,71,Muscle Gain,2552,2028.5625,523.4375
61,Female,71.1,163.5,26.57,6.1,Active,2.74,85,472,83,Maintenance,2971,2185.359375,785.640625
32,Female,71.8,165.7,26.15,8.9,Moderate,3.49,86,373,68,Maintenance,2449,2220.56875,228.4312500000001
49,Male,71.9,163.8,26.82,6.4,Active,2.85,86,477,84,Maintenance,3006,2592.24375,413.7562499999999
56,Male,59.4,183.1,17.72,6.1,Moderate,1.49,71,309,56,Maintenance,2026,2268.2312500000003,-242.23125000000027
25,Male,77.1,173.7,25.54,6.5,Moderate,2.18,93,307,59,Weight Loss,2129,2691.76875,-562.7687500000002
53,Male,80.4,180.6,24.62,8.3,Moderate,2.21,96,417,76,Maintenance,2740,2592.7625000000003,147.23749999999973
31,Male,78.8,170.1,27.23,7.6,Sedentary,2.51,95,202,44,Weight Loss,1580,2041.35,-461.3499999999999
58,Male,81.4,173.5,27.02,5.4,Moderate,1.91,98,423,77,Maintenance,2775,2500.7312500000003,274.2687499999997
29,Female,64.7,158.3,25.8,6.3,Moderate,2.66,103,366,70,Muscle Gain,2505,2062.08125,442.9187499999998
20,Female,64.5,169.0,22.57,8.4,Sedentary,1.93,103,272,56,Muscle Gain,2002,1728.3,273.70000000000005
32,Female,66.7,164.9,24.5,6.5,Moderate,3.52,107,376,71,Muscle Gain,2573,2133.76875,439.2312499999998
64,Male,82.7,171.1,28.23,8.0,Moderate,3.28,99,429,78,Maintenance,2819,2451.13125,367.8687500000001
